;invoice_and_item_number;date;store_number;store_name;address;city;zip_code;store_location;county_number;county;category;category_name;vendor_number;vendor_name;item_number;item_description;pack;bottle_volume_ml;state_bottle_cost;state_bottle_retail;bottles_sold;sale_dollars;volume_sold_liters;volume_sold_gallons
0;S30192200003;2016-01-13 00:00:00;3772;Shop N Save #1 / Mlk Pkwy;2127 M L KING JR PKWY;DES MOINES;50314.0;;77;Polk;1051140;PEACH BRANDIES;115;Constellation Wine Company, Inc.;56193;Paul Masson Peach Grande Amber Brandy;24;200;1.96;2.94;24;70.56;4.8;1.27
5;S30519600038;2016-02-02 00:00:00;3705;Liquor Locker;507 1ST AVE #100;ROCK RAPIDS;51246.0;;60;Lyon;1081350;SPEARMINT SCHNAPPS;434;Luxco-St Louis;82187;Arrow Spearmint Schnapps;12;1000;5.0;7.5;5;37.5;5.0;1.32
7;S30560800002;2016-02-03 00:00:00;4057;Tequila's Liquor Store;1434 DES MOINES ST STE 5;DES MOINES;50316.0;POINT (-93.59704 41.594713);77;Polk;1052100;;420;Moet Hennessy USA, Inc.;48099;Hennessy VS;24;200;5.74;8.61;48;413.28;9.6;2.54
8;S30557300014;2016-02-04 00:00:00;5113;Ray's Supermarket, Inc.;1975 FRANKLIN ST;WATERLOO;50703.0;POINT (-92.315215 42.495394);7;Black Hawk;1052100;;420;Moet Hennessy USA, Inc.;48099;Hennessy VS;24;200;5.74;8.61;24;206.64;4.8;1.27
10;S30624700060;2016-02-09 00:00:00;5166;East Side Liquor and Groceries;1116 E NEVADA ST;MARSHALLTOWN;50158.0;POINT (-92.893113 42.044345);64;Marshall;1052100;;420;Moet Hennessy USA, Inc.;48099;Hennessy VS;24;200;5.74;8.61;24;206.64;4.8;1.27
12;S30700500137;2016-02-11 00:00:00;4829;Central City 2;1501 MICHIGAN AVE;DES MOINES;50314.0;POINT (-93.613739 41.60572);77;Polk;1052100;;420;Moet Hennessy USA, Inc.;48106;Hennessy Vs Cognac;12;750;18.99;28.49;60;1709.4;45.0;11.89
15;S30778800020;2016-02-17 00:00:00;3772;Shop N Save #1 / Mlk Pkwy;2127 M L KING JR PKWY;DES MOINES;50314.0;;77;Polk;1052100;;389;REMY COINTREAU USA         .;49182;Remy Martin VSOP;24;100;3.24;4.86;24;116.64;2.4;0.63
17;S30849100007;2016-02-22 00:00:00;4898;Burlington Shell;130, S ROOSEVELT AVE;BURLINGTON;52601.0;POINT (-91.140986 40.808239);29;Des Moines;1052100;;420;Moet Hennessy USA, Inc.;48099;Hennessy VS;24;200;5.74;8.61;24;206.64;4.8;1.27
35;INV-05775700006;2017-06-28 00:00:00;2522;Hy-Vee Wine and Spirits / Spirit Lake;Hwy 9 & 71;Spirit Lake;51360.0;;30;DICKINSON;1092100;Imported Distilled Spirit Specialty;421;SAZERAC COMPANY  INC;77487;Tortilla Gold Dss;12;1000;4.51;6.77;48;324.96;48.0;12.68
47;INV-16653400110;2018-12-31 00:00:00;2643;Hy-Vee Wine and Spirits / Waterloo;2126 Kimball Ave;Waterloo;50701.0;;7;BLACK HAWK;1081500;Triple Sec;65;Jim Beam Brands;86112;Dekuyper Triple Sec;12;1000;2.33;3.5;2;7.0;2.0;0.52
55;INV-18229400004;2019-03-19 00:00:00;3993;New Star Liquor / W 4th S / Waterloo;1625 West 4th St;Waterloo;50701.0;;7;BLACK HAWK;1062100;Gold Rum;35;BACARDI USA INC;43034;Bacardi Gold;24;375;4.5;6.75;7;47.25;2.62;0.69
64;INV-23609300026;2019-12-02 00:00:00;4962;Hilltop Grocery;1312 Harrison St;Davenport;52803.0;;82;SCOTT;1091200;Neutral Grain Spirits;434;LUXCO INC;41844;Everclear Alcohol;24;375;4.2;6.3;3;18.9;1.12;0.29
69;INV-23938500001;2019-12-16 00:00:00;4136;Fareway Stores #983 / Grimes;351 Gateway Dr;Grimes;50111.0;;77;POLK;1091100;American Distilled Spirit Specialty;154;DUNKEL CORPORATION;77805;Saints N Sinners Apple Pie;12;750;8.0;12.0;108;1296.0;81.0;21.39
73;INV-24268000020;2019-12-31 00:00:00;3993;New Star Liquor / W 4th S / Waterloo;1625 West 4th St;Waterloo;50701.0;;7;BLACK HAWK;1062100;Gold Rum;35;BACARDI USA INC;43031;Bacardi Gold Mini;12;50;5.54;8.31;4;33.24;0.2;0.05
